Year,Unemployment Rate: Monthly: Thailand,Producer Price Index: YoY: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Consumer Price Index,CPI: Food & Non Alcoholic Beverages (FB),"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food,Non Core CPI: Raw Food and Energy,Non Core CPI: Raw Food and Energy: Raw Food,Non Core CPI: Raw Food and Energy: Energy,Core Consumer Price Index,CPI: TC: Communication and Equipments,MoC: Exports: Custom Basis,MoC: Exports: Custom Basis: USD,Exports: Agricultural Products,Exports: Agro Industrial Products,Exports: Principle Manufacturing Products,Exports: Mineral Products and Fuel,Exports: USD: Agricultural Products,Exports: USD: Agro Industrial Products,Exports: USD: Principle Manufacturing Products,Exports: USD: Mineral Products and Fuel,"Exports: USD: Other, Special Transaction and Articles",Exp: Agricultural Products (AP),Exp: Agro Industrial Products (AIP),Exp: Principle Manufacturing Products (PMP),Exp: Mineral Products & Fuel (MPF),"Exp: Other, Special Transaction & Articles",Exp: USD: Agricultural Products (AP),Exp: USD: Agro Industrial Products (AIP),Exp: USD: Principle Manufacturing Products (PMP),Exp: USD: Mineral Products & Fuel (MPF),"Exp: USD: Other, Special Transaction & Articles",MoC: Imports: Custom Basis,MoC: Trade Balance: Custom Basis,MoC: Imports: Custom Basis: USD,MoC: Trade Balance: Custom Basis: USD,Imports: Fuel Lubricants,Imports: Capital Goods,Imports: Raw Materials and Intermediate Products,Imports: Consumer Goods,Imports: Vehicles and Transport Accessories,"Imports: Arms, Munitions Used in Official Services",Imports: USD: Fuel Lubricants,Imports: USD: Capital Goods,Imports: USD: Raw Materials and Intermediate Products,Imports: USD: Consumer Goods,Imports: USD: Vehicles and Transport Accessories,"Imports: USD: Arms, Munitions Used in Official Services",Imp: Fuel Lubricants (FL),Imp: Capital Goods (CG),Imp: Raw Materials & Intermediate Products (MIP),Imp: Consumer Goods (CSG),Imp: Vehicles & Transport Accessories (VTA),"Imp: Arms, Munitions Used in Official Services (AMO)",Imp: USD: Fuel Lubricants (FL),Imp: USD: Capital Goods (CG),Imp: USD: Raw Materials & Intermediate Products (MIP),Imp: USD: Consumer Goods (CSG),Imp: USD: Vehicles & Transport Accessories (VTA),"Imp: USD: Arms, Munitions Used in Official Services (AMO)",Foreign Reserve: Foreign Exchange,CPI: HF: Shelter: House Rent,Reserve Requirement Ratio: Local Currency Deposits: Thailand,CPI: FB: CH: MF: Meats,CPI: FB: CH: MF: Poultry & Frog,CPI: FB: CH: Fish and Aquatic Animal,CPI: FB: Prepared Food: at Home,CPI: FB: Prepared Food: Food Away From Home,CPI: HP: Medical Care: Drugs & Medical Care (DM),CPI: HP: Medical Care: Services,CPI: TA: Tabacco Products,CPI: TA: Alcohlic Beverages,Core Consumer Price Index: Exclude House Rent,M2: YoY: Monthly: Thailand,Consumer Confidence: Net Balance: Monthly: Thailand
5/1/2018,1.04,0.8008008,1.48918809,1726.97,99.5,97.88,93.81,97.19,99.19,97.08,97.95,98.98,98.87,100.01,99.64,99.72,99.19,100.55,100.05,99.9,99.12,100.1,101.71,95.98,103.08,99.4,100.02,100.45,99.67,98.79,99.74,96.67,103.96,99.41,100.04,694620.6169,22406.32162,61639.9436,53608.4619,547974.5403,31397.6711,1988.3147,1729.2439,17675.9709,1012.7922,0,61639.9436,53608.4619,547974.5403,31397.6711,0,1988.3147,1729.2439,17675.9709,1012.7922,0,659339.4229,35281.19408,20979.09607,1427.225552,103134.8862,173286.3375,266989.8897,74978.3225,39887.9356,1062.0514,3281.5825,5513.6863,8495.1792,2385.6869,1269.1685,33.7927,103134.8862,173286.3375,266989.8897,74978.3225,39887.9356,1062.0514,3281.5825,5513.6863,8495.1792,2385.6869,1269.1685,33.7927,204071.33,99.69,1,94.53,99.41,98.62,99.17,98.56,97.95,99.99,100,100.05,99.36,5.32489091,-19.9
6/1/2018,1.1,1.92307692,1.38690598,1595.58,99.42,97.74,94.37,96.72,99.14,94.98,99.73,99,99.02,100.07,99.66,99.78,99.11,100.22,100.02,99.87,99.21,100.02,101.53,95.98,102.81,99.51,100.01,100.4,99.7,99.08,99.16,95.99,103.56,99.52,100.03,697272.4983,21878.99084,61052.6357,52099.5177,556993.3761,27126.9688,1915.7074,1634.7768,17477.3177,851.189,0,61052.6357,52099.5177,556993.3761,27126.9688,0,1915.7074,1634.7768,17477.3177,851.189,0,649119.1243,48153.37402,20094.14109,1784.849748,107729.7191,169119.7571,258438.3975,72695.824,39284.0803,1851.3463,3334.8828,5235.2737,8000.2228,2250.373,1216.0786,57.3103,107729.7191,169119.7571,258438.3975,72695.824,39284.0803,1851.3463,3334.8828,5235.2737,8000.2228,2250.373,1216.0786,57.3103,198431.57,99.76,1,93.71,99.15,98.39,99.24,98.8,98.17,99.99,100,100.02,99.46,5.12058476,-18.7
7/1/2018,0.98,2.3397762,1.47043807,1701.79,99.37,97.41,94.72,95.62,98.72,93.28,100.68,99.01,99.08,100.09,99.67,99.81,99.11,100.37,99.79,99.9,99.27,100.05,101.78,95.98,103.19,99.5,100.01,100.5,99.71,99.2,98.84,95.06,104.06,99.56,100.03,659251.8997,20333.78775,59503.5587,51080.5077,517313.621,31354.2124,1835.3117,1575.5134,15955.8818,967.0809,0,59503.5587,51080.5077,517313.621,31354.2124,0,1835.3117,1575.5134,15955.8818,967.0809,0,681465.0584,-22213.15874,20747.78228,-413.9945299,124790.8981,166944.2567,278291.3697,67196.3935,41180.468,3061.6725,3799.3648,5082.7596,8472.817,2045.8513,1253.7743,93.2152,124790.8981,166944.2567,278291.3697,67196.3935,41180.468,3061.6725,3799.3648,5082.7596,8472.817,2045.8513,1253.7743,93.2152,197296.15,99.79,1,93.46,93.61,98.42,99.27,98.89,98.32,99.99,100,100.02,99.5,4.97728724,-17.8
8/1/2018,1.04,1.92893401,1.62178703,1721.58,99.63,97.91,95.02,97.07,99.65,94.55,100.73,99.08,99.1,100.11,99.68,99.83,99.12,99.87,99.82,99.82,99.35,99.92,102.12,95.99,103.7,99.5,100.02,100.63,99.71,99.23,99.79,96.18,104.77,99.57,100.03,756319.3922,22827.25294,71223.5074,53068.0896,597171.0791,34856.7161,2149.6699,1601.7026,18023.8341,1052.0464,0,71223.5074,53068.0896,597171.0791,34856.7161,0,2149.6699,1601.7026,18023.8341,1052.0464,0,780889.8758,-24570.48354,23264.65793,-437.4049961,116664.3714,184191.8963,359160.3333,77382.4776,42645.8553,844.9419,3475.7227,5487.5362,10700.2825,2305.4171,1270.5264,25.1729,116664.3714,184191.8963,359160.3333,77382.4776,42645.8553,844.9419,3475.7227,5487.5362,10700.2825,2305.4171,1270.5264,25.1729,196441.29,99.81,1,94.19,99.2,98.75,99.27,98.92,98.5,99.99,100,100.04,99.51,4.55698412,-16.8
9/1/2018,0.97,1.61290323,1.32846567,1756.41,99.92,98.19,95.46,97.51,100,93.83,100.46,99.3,99.6,100.11,99.74,99.84,99.15,100.07,100.49,99.88,99.53,99.95,102.86,95.99,104.81,99.53,100.03,100.93,99.74,99.64,100.49,96.27,106.3,99.71,100.03,678684.4711,20769.42174,60389.7563,46557.1049,541295.7388,30441.8711,1848.0758,1424.7624,16564.9871,931.5965,0,60389.7563,46557.1049,541295.7388,30441.8711,0,1848.0758,1424.7624,16564.9871,931.5965,0,664092.4335,14592.03757,20055.94448,713.4772634,112811.1592,171953.6195,269909.0423,69467.3733,37448.6597,2502.5795,3406.957,5193.0907,8151.3965,2097.9516,1130.9694,75.5792,112811.1592,171953.6195,269909.0423,69467.3733,37448.6597,2502.5795,3406.957,5193.0907,8151.3965,2097.9516,1130.9694,75.5792,196416.62,99.82,1,95.25,99.52,98.68,99.57,99.62,98.93,99.99,100,100.07,99.69,4.81310887,-17.7
10/1/2018,1.01,2.12335693,1.23531794,1669.09,99.98,98.32,95.91,97.27,99.15,94.66,100.36,99.3,99.76,100.08,99.7,99.85,99.15,100.1,99.76,99.96,99.64,100.04,102.93,96.01,104.9,99.52,100.04,100.95,99.73,99.77,100.63,96.43,106.44,99.75,100.03,701611.5735,21744.13787,64360.9385,51452.4639,549518.3098,36279.8613,1994.6551,1594.5995,17030.5085,1124.3747,0,64360.9385,51452.4639,549518.3098,36279.8613,0,1994.6551,1594.5995,17030.5085,1124.3747,0,716493.736,-14882.16251,21909.51539,-165.3775124,119966.1031,180608.4522,286430.987,83726.5805,44758.5057,1003.1074,3668.4189,5522.7889,8758.7146,2560.258,1368.6612,30.6738,119966.1031,180608.4522,286430.987,83726.5805,44758.5057,1003.1074,3668.4189,5522.7889,8758.7146,2560.258,1368.6612,30.6738,193609.43,99.83,1,94.68,99.28,98.73,99.67,99.85,99.19,99.99,100,100.09,99.73,5.25029029,-18.7
11/1/2018,0.95,1.21334681,0.94100981,1641.8,99.76,98.67,95.98,97.54,98.69,96.97,100.59,99.49,99.77,99.83,99.74,99.87,99.15,99.99,100.23,99.8,99.65,99.8,101.48,96.01,102.73,99.53,100.04,100.39,99.72,99.81,99.8,97.17,103.42,99.75,100.03,687806.2579,21225.3127,63931.3715,47246.9399,543305.3257,33322.6208,1972.886,1458.0139,16766.0955,1028.3173,0,63931.3715,47246.9399,543305.3257,33322.6208,0,1972.886,1458.0139,16766.0955,1028.3173,0,727619.5248,-39813.26688,22162.84578,-937.5330842,139486.5214,187717.7322,267843.7227,87000.4205,43214.6772,2356.4507,4248.6741,5717.7673,8158.356,2649.9796,1316.2926,71.776,139486.5214,187717.7322,267843.7227,87000.4205,43214.6772,2356.4507,4248.6741,5717.7673,8158.356,2649.9796,1316.2926,71.776,194938.38,99.86,1,95.29,99.19,98.85,99.67,99.86,99.21,99.99,100,100.08,99.72,4.73686203,-19.5
12/1/2018,0.91,0,0.35443038,1563.88,99.1,98.31,96.07,97.54,98.54,94.1,100.27,99.56,99.79,99.81,99.77,99.89,99.17,99.83,100.43,99.89,99.7,99.92,99.24,96.02,99.4,99.57,100.04,99.58,99.74,99.81,97.4,96.35,98.86,99.76,100.03,634485.1602,19402.20723,61254.8222,44776.617,500255.2327,28198.4884,1873.1388,1369.2443,15297.5299,862.2943,0,61254.8222,44776.617,500255.2327,28198.4884,0,1873.1388,1369.2443,15297.5299,862.2943,0,599635.6499,34849.5103,18098.87537,1303.331861,105589.5367,161010.3324,221626.7354,72885.157,37679.3492,844.5393,3187.0218,4859.7943,6689.3866,2199.9015,1137.2804,25.4908,105589.5367,161010.3324,221626.7354,72885.157,37679.3492,844.5393,3187.0218,4859.7943,6689.3866,2199.9015,1137.2804,25.4908,197030.47,99.88,1,95.03,99.2,99.08,99.69,99.89,99.32,99.99,100,100.09,99.73,4.66754764,-20.6
1/1/2019,1.02,-0.70564516,0.26310463,1641.73,99.08,98.64,96.43,98.61,98.9,94.61,100.26,99.49,99.86,99.9,99.95,99.92,100,99.98,100.13,100.08,99.7,100.19,98.39,96,98.12,99.58,100,99.34,99.76,99.86,97.21,97.05,97.41,99.8,100.03,615996.1937,18990.60002,60200.7439,44000.5739,486682.8577,25112.0181,1855.9339,1356.4975,15003.988,774.1806,0,60200.7439,44000.5739,486682.8577,25112.0181,0,1855.9339,1356.4975,15003.988,774.1806,0,755505.5416,-139509.3479,22991.01795,-4000.41793,101378.0257,175301.4236,282589.2376,83717.6898,42428.401,70090.7639,3085.0654,5334.6507,8599.5587,2547.6384,1291.1515,2132.9533,101378.0257,175301.4236,282589.2376,83717.6898,42428.401,70090.7639,3085.0654,5334.6507,8599.5587,2547.6384,1291.1515,2132.9533,201137.47,99.91,1,97.09,99.12,99.75,99.73,99.97,99.33,99.99,100,100.01,99.77,4.34817386,-19.3
2/1/2019,0.78,-0.30272452,0.73022312,1653.48,99.32,98.78,96.59,99.96,99.04,93.9,99.83,99.37,99.85,100.1,99.95,99.92,100,99.76,100.04,99.93,99.71,99.98,99.18,96.04,99.31,99.57,100,99.64,99.76,99.8,98.12,97.46,99.04,99.78,100.02,680352.323,21612.20849,54386.8197,45441.6568,558265.7484,22258.098,1727.6626,1443.5088,17733.9819,707.0552,0,54386.8197,45441.6568,558265.7484,22258.098,0,1727.6626,1443.5088,17733.9819,707.0552,0,558041.3374,122310.9855,17496.14635,4116.062138,98926.618,138200.8497,215206.5028,64775.5215,39424.2781,1507.5673,3101.6243,4332.9806,6747.3218,2030.8926,1236.0607,47.2664,98926.618,138200.8497,215206.5028,64775.5215,39424.2781,1507.5673,3101.6243,4332.9806,6747.3218,2030.8926,1236.0607,47.2664,203816.26,99.92,1,100.39,99.61,99.74,99.71,99.97,99.34,99.99,100,100,99.75,4.76210479,-18
