Date,ConsumerPriceIndex,Production: Southern: Palm Oil: Crude,Motor Vehicle Production: Passenger Car: 2001 to 2500 cc,Motor Vehicle Production: Passenger Car: Total,Motor Vehicle Production: Passenger Car: Less than 1500 cc,Motor Vehicle Production: Passenger Car: 1501 to 1800 cc,Motor Vehicle Production: Passenger Car: 1801 to 2000 cc,Motor Vehicle Production: Passenger Car: 2000 cc and Above,"Motor Vehicle Production: Total, excludes Motorcycle",Motor Vehicle Production: Truck: 10 Tons and Above,Motor Vehicle Production: Truck: 5 to 10 Tons,Motor Vehicle Production: Truck: Less Than 5 Tons,Motor Vehicle Production: Truck: Pick Up: Above 1 Ton,Motor Vehicle Production: Truck: Total,Govt Revenue: Gross: Customs Dept: Others,Govt Revenue: Gross: Excise Dept: Others Tax (OT),Govt Revenue: Gross: Excise Dept: OT: Perfume,Govt Revenue: Gross: Excise Dept: Miscellaneous,Govt Revenue: Gross: Customs Dept: Import Duties,Govt Revenue: Gross: Customs Dept: Export Duties,Govt Revenue: Gross: Total,Govt Revenue: Gross: Revenue Dept,Govt Revenue: Gross: Excise Dept,Govt Revenue: Gross: Customs Dept,Govt Revenue: Gross: Other Sections (OS),Govt Revenue: Gross: OS: Other Government Sections,Govt Revenue: Gross: OS: State Enterprises,Govt Revenue: Gross: Revenue Dept: Personal Income Tax,Govt Revenue: Gross: Revenue Dept: Corporate Income Tax,Govt Revenue: Gross: Revenue Dept: Value Added Tax,Govt Revenue: Gross: Revenue Dept: Specific Sale Tax,Govt Revenue: Gross: Revenue Dept: Stamp Duties,Govt Revenue: Gross: Revenue Dept: Others,Govt Revenue: Gross: Excise Dept: Tobacco Tax,Govt Revenue: Gross: Excise Dept: Petroleum & Pet Production Tax,Govt Revenue: Gross: Excise Dept: Beer Tax,Govt Revenue: Gross: Excise Dept: Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Non Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Automobile Tax,Govt Revenue: Net,Govt Revenue: Net Revenue after VAT Allocation for Local Admin Org,No of New Applicants: Male,No of New Applicants: Female,No of New Applicants: Bangkok,No of New Applicants: Other Regions,No of Job Vacancies: Female,No of Job Vacancies: Non-Specific,No of Job Vacancies: Bangkok,No of Job Vacancies: Other Regions,No of Job Vacancies: Male,No of Job Placement: Bangkok,No of Job Placement: Other Regions,No of Aliens Work Permit: Life Long Permit,No of Aliens Work Permit: Investment Promotion,No of Aliens Work Permit: Temporary,No of Aliens Work Permit: Illegal Immigrant,No of Aliens Work Permit: Bangkok: Investment Promotion,No of Aliens Work Permit: Bangkok: Temporary,No of Aliens Work Permit: Bangkok: Illegal Immigrant,No of Aliens Work Permit: Other Regions: Life Long Permit,No of Aliens Work Permit: Other Regions: Investment Promotion,No of Aliens Work Permit: Other Regions: Temporary,No of Aliens Work Permit: Other Regions: Illegal Immigrant,BOT: No of Registered Applicants,BOT: No of Job Vacancies,BOT: No of Job Placements,BOT: No of Overseas Thai Worker: Others,BOT: No of Overseas Thai Worker: Israel,BOT: No of Overseas Thai Worker: Japan,BOT: No of Overseas Thai Worker: Malaysia,BOT: No of Overseas Thai Worker: Singapore,BOT: No of Overseas Thai Worker: Taiwan,BOT: Inward Remittances,Motor Vehicle Sales: TMT: Passenger Car,Motor Vehicle Sales: TMT: Commercial Vehicle (CV),Motor Vehicle Sales: TMT: CV: One Ton Pickup,"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,CPI: HF: Shelter: House Rent,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,CPI: TC: Communication and Equipments,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food
08/2001,69.60,73273.30,2382.00,15004.00,3000.00,6261.00,3143.00,2600.00,38318.00,153.00,198.00,353.00,21860.00,22854.00,146.54,37.32,7.96,17.21,8185.39,8.62,101757.33,68017.31,16077.99,8340.55,9321.48,5021.67,4299.81,7533.02,40572.71,17722.00,1217.80,312.50,12.59,3296.69,5306.08,2900.76,733.52,658.81,2887.13,94201.40,94201.40,8423.00,9143.00,4843.00,12723.00,14382.00,15479.00,13376.00,30118.00,13633.00,3646.00,5602.00,14948.00,23889.00,53413.00,9078.00,13465.00,36712.00,708.00,7642.00,10424.00,16701.00,8370.00,17566.00,43494.00,9248.00,2379.00,1021.00,376.00,121.00,1500.00,6017.00,3092.00,8874.00,14714.00,12963.00,51,51,66,22,56,76,65,97,91,95,95,80,94,75,85,84,83,76,69,64,110,99,55,84,90,65
09/2001,69.60,66738.80,1817.00,13876.00,2839.00,6242.00,2836.00,1959.00,37587.00,155.00,165.00,375.00,22409.00,23301.00,201.75,40.78,11.37,9.60,7565.19,8.95,68842.65,34081.96,15204.52,7775.89,11780.28,2735.55,9044.73,7490.25,7272.69,17983.58,1006.31,312.48,13.35,3066.19,4971.65,2416.53,1119.88,476.19,2854.06,61779.08,61779.08,8082.00,10440.00,4724.00,13798.00,15515.00,14708.00,12741.00,30946.00,13464.00,3457.00,5288.00,14947.00,16842.00,37361.00,8036.00,6522.00,20998.00,747.00,7641.00,10320.00,16363.00,7289.00,18522.00,43687.00,8745.00,2633.00,687.00,508.00,235.00,1502.00,7541.00,3825.00,8823.00,13633.00,11794.00,50,50,66,21,56,76,65,97,92,95,95,84,94,75,85,84,83,77,69,66,110,99,55,85,90,65
10/2001,69.80,71321.40,2126.00,14408.00,2465.00,6134.00,3422.00,2387.00,43729.00,284.00,86.00,143.00,28250.00,28847.00,695.30,36.94,10.32,16.98,8482.92,8.92,65102.41,35072.61,17432.20,9187.14,3410.46,3006.41,319.97,7243.75,7238.15,18593.83,1412.04,315.57,16.99,3422.95,5993.37,2749.87,1812.57,629.58,2534.00,56291.51,56291.51,8041.00,9376.00,6010.00,11407.00,13663.00,12289.00,11530.00,28614.00,14192.00,4828.00,4675.00,14867.00,16655.00,37843.00,9043.00,6628.00,21098.00,839.00,7561.00,10027.00,16745.00,8204.00,17417.00,40145.00,9503.00,2624.00,262.00,333.00,189.00,1457.00,6196.00,4488.00,8123.00,16123.00,14348.00,50,50,67,21,56,76,65,97,92,95,95,83,94,75,85,84,83,76,69,64,110,98,55,85,90,65
11/2001,69.50,65908.30,1699.00,14814.00,3339.00,5933.00,3557.00,1985.00,45004.00,320.00,99.00,85.00,29571.00,30112.00,201.21,40.36,12.62,28.89,8196.45,9.77,71340.73,37777.98,16516.25,8407.43,8639.08,7018.63,1327.22,7757.71,10132.30,18177.04,1324.78,357.27,26.47,2402.89,5354.24,2844.82,2051.85,688.20,2874.03,62515.03,62515.03,8254.00,9436.00,4409.00,13281.00,14842.00,18958.00,15753.00,31961.00,13914.00,3381.00,5222.00,14883.00,19166.00,40975.00,14169.00,7330.00,22292.00,1019.00,7577.00,11836.00,18683.00,13150.00,17690.00,47714.00,8603.00,2438.00,466.00,348.00,79.00,1266.00,6196.00,4059.00,9293.00,17415.00,15526.00,48,50,66,22,56,76,65,97,92,95,95,84,94,75,85,85,83,74,69,62,110,98,55,84,90,65
12/2001,69.30,45628.70,1615.00,12077.00,2848.00,5221.00,2192.00,1816.00,39062.00,158.00,126.00,110.00,26444.00,26905.00,71.03,44.67,8.90,40.71,7384.08,11.13,61530.15,32518.80,15615.31,7466.24,5929.80,1477.17,3430.47,7383.21,5871.20,17841.04,1095.70,313.47,11.54,1387.68,5174.97,3069.03,1890.80,635.57,3128.11,54282.71,54282.71,6989.00,7758.00,6989.00,7758.00,14395.00,17276.00,9721.00,33033.00,11083.00,3501.00,4622.00,13483.00,17666.00,37087.00,14153.00,7574.00,22785.00,874.00,6177.00,10092.00,14302.00,13279.00,14747.00,42754.00,8123.00,2277.00,701.00,245.00,212.00,1572.00,5969.00,3607.00,13960.00,22635.00,20258.00,48,50,66,21,56,76,65,97,92,95,95,84,94,75,85,85,83,74,69,62,110,98,55,84,90,65
01/2002,69.10,50094.90,1648.00,11277.00,2571.00,4713.00,2210.00,1783.00,34458.00,135.00,102.00,105.00,12282.00,22334.00,-150.30,48.43,7.57,30.55,7228.50,11.79,74717.46,39041.92,17798.25,7090.00,10787.29,2952.45,6944.22,11718.72,7162.29,18532.04,1249.86,353.30,11.30,3174.15,6405.18,2202.79,1493.67,669.35,3542.37,67146.16,67146.16,8682.00,9196.00,4341.00,13537.00,13405.00,18818.00,13501.00,32752.00,14030.00,3020.00,9739.00,14869.00,18889.00,41511.00,17498.00,7405.00,22788.00,967.00,7563.00,11484.00,18723.00,16531.00,17878.00,46253.00,9552.00,2563.00,10.00,345.00,169.00,1593.00,6809.00,4041.00,7671.00,17056.00,15254.00,48,50,66,22,56,76,65,97,92,95,95,84,94,75,85,85,83,74,69,62,110,99,55,84,90,65
02/2002,69.30,45841.90,990.00,11417.00,2402.00,5340.00,2486.00,1189.00,36277.00,242.00,83.00,143.00,13127.00,23580.00,57.45,51.17,8.51,15.07,6502.53,10.81,66581.22,36783.45,14657.51,6570.79,8569.47,4784.38,3633.58,8661.18,7497.12,16678.12,1143.94,316.14,23.84,2398.60,5145.09,2174.28,1357.69,674.15,2574.39,58337.93,58337.93,8509.00,9397.00,4542.00,13364.00,12175.00,17948.00,14636.00,28584.00,13097.00,2679.00,6636.00,14869.00,19021.00,42274.00,17485.00,7475.00,23029.00,999.00,7563.00,11546.00,19245.00,16486.00,16680.00,41408.00,7144.00,2705.00,22.00,408.00,273.00,1972.00,9636.00,3588.00,8113.00,18689.00,15904.00,47,50,66,22,56,77,65,97,92,95,95,84,94,75,85,85,83,75,69,64,110,99,55,84,90,65
03/2002,69.40,53139.80,1559.00,13002.00,3064.00,5023.00,3101.00,1814.00,42704.00,287.00,54.00,178.00,15771.00,28571.00,95.24,51.22,10.18,12.73,7924.12,15.57,83496.42,40664.38,18676.06,8034.92,16121.06,3053.25,12779.06,14192.20,6658.47,18460.12,968.22,365.51,14.11,2873.94,6046.98,3251.51,2232.37,833.88,3053.91,76211.54,76211.54,9500.00,14363.00,3791.00,20072.00,12227.00,21322.00,14679.00,34263.00,15393.00,1662.00,8218.00,14869.00,19658.00,42304.00,17989.00,7678.00,23294.00,1030.00,7563.00,11980.00,19010.00,16959.00,20038.00,46572.00,6741.00,2676.00,16.00,320.00,370.00,1499.00,6258.00,3611.00,8649.00,23477.00,20090.00,47,50,66,22,56,77,65,97,92,95,95,84,94,75,85,85,83,76,69,65,110,99,55,85,90,65
04/2002,69.50,54973.20,1552.00,10535.00,2041.00,4778.00,1994.00,1722.00,34906.00,289.00,97.00,217.00,11657.00,22907.00,291.02,53.07,11.71,11.51,8369.13,15.73,76899.93,40297.73,18819.92,8675.88,9106.41,2426.02,6412.39,9809.31,8264.80,20759.49,1093.02,331.43,30.25,2767.10,6484.09,2912.44,1811.70,787.53,3572.49,70899.83,70899.83,8715.00,12591.00,3398.00,17908.00,12179.00,22882.00,11344.00,38858.00,15141.00,1642.00,7901.00,14863.00,18922.00,42537.00,18123.00,7755.00,23531.00,1036.00,7557.00,11167.00,19006.00,17087.00,19636.00,54777.00,7523.00,3591.00,17.00,313.00,232.00,1891.00,9017.00,3781.00,10769.00,22202.00,19644.00,47,50,66,22,56,77,65,97,92,95,95,84,94,75,85,85,84,78,69,68,110,99,55,85,90,65
05/2002,69.90,69084.70,2271.00,13346.00,3443.00,6629.00,808.00,2466.00,45498.00,437.00,107.00,262.00,17826.00,30195.00,162.37,44.16,8.77,10.38,8258.05,14.43,138009.16,94994.37,18533.34,8434.84,16046.61,6633.15,9171.28,8748.69,49343.36,19865.70,1184.66,342.34,23.90,3120.72,5630.90,2909.38,1987.93,654.36,3802.15,131722.91,126322.91,10321.00,12310.00,4100.00,18531.00,16087.00,24548.00,11387.00,42858.00,13610.00,1532.00,8459.00,14859.00,19161.00,42713.00,18179.00,7953.00,23701.00,1248.00,7553.00,11208.00,19012.00,16931.00,22832.00,53775.00,8358.00,2759.00,95.00,483.00,329.00,1687.00,6407.00,4051.00,10669.00,19418.00,15716.00,47,50,66,22,57,77,65,97,92,95,95,84,94,76,85,85,84,78,69,69,110,99,55,86,90,65
06/2002,70.00,63691.50,2458.00,15023.00,3943.00,7587.00,861.00,2632.00,47918.00,492.00,173.00,290.00,19039.00,31284.00,239.91,45.81,10.12,9.66,7850.31,16.34,69879.64,35085.42,15705.22,8106.57,10982.44,2694.23,8229.37,7979.23,7056.57,18681.21,1005.08,342.61,17.71,2140.73,5275.53,2090.61,1543.90,472.35,3780.68,62440.01,62440.01,9048.00,11277.00,4263.00,16062.00,14582.00,20691.00,13375.00,35994.00,14096.00,1806.00,6736.00,14434.00,18258.00,41146.00,18295.00,8129.00,24116.00,1277.00,7128.00,10129.00,17030.00,17018.00,11862.00,34514.00,4149.00,2695.00,552.00,471.00,832.00,1026.00,8237.00,3823.00,11860.00,23056.00,19763.00,47,50,66,22,57,77,65,97,91,94,95,84,94,75,85,85,83,77,69,67,110,99,55,85,90,65
07/2002,69.80,68940.60,2077.00,14173.00,3583.00,6317.00,2013.00,2260.00,51584.00,572.00,297.00,269.00,22146.00,35108.00,215.54,47.05,14.93,12.10,8646.34,17.56,73261.93,38480.03,18441.79,8879.43,7460.67,3719.11,3672.17,8326.03,8439.68,19902.53,1250.04,352.43,16.82,2459.74,6159.39,2523.61,2396.18,532.85,4006.99,65852.66,65852.66,7215.00,8689.00,3424.00,12480.00,18028.00,26242.00,16507.00,47622.00,19859.00,1428.00,2310.00,14423.00,18848.00,41751.00,18423.00,8202.00,24349.00,1302.00,7117.00,10646.00,17402.00,17121.00,15904.00,64129.00,3738.00,2799.00,2588.00,426.00,687.00,988.00,7542.00,4371.00,11281.00,23084.00,19537.00,47,50,66,23,56,77,65,97,91,94,95,84,94,75,85,85,83,77,69,66,110,99,55,85,90,65
08/2002,69.80,65081.60,2157.00,14755.00,2807.00,5970.00,3626.00,2352.00,57080.00,482.00,248.00,366.00,23774.00,40324.00,59.67,44.30,10.99,9.82,8809.82,15.69,102837.64,67959.06,19001.33,8885.18,6992.08,5500.13,1410.23,8055.87,37739.99,20139.60,1057.68,360.30,27.54,3356.12,5487.33,2687.69,2104.41,600.54,4399.09,94353.59,94353.59,7791.00,9602.00,4664.00,12729.00,15501.00,27807.00,16541.00,41851.00,15084.00,992.00,3248.00,14423.00,19027.00,41986.00,18309.00,8381.00,24624.00,1331.00,7117.00,10646.00,17362.00,16978.00,17393.00,58392.00,4240.00,2939.00,7258.00,365.00,745.00,823.00,7109.00,4502.00,11103.00,24655.00,20595.00,47,50,66,22,57,77,65,97,92,95,95,84,94,75,85,85,84,77,69,67,110,99,55,85,90,65
09/2002,69.80,55619.10,2461.00,15443.00,2789.00,7252.00,2770.00,2632.00,59560.00,364.00,204.00,399.00,22773.00,42215.00,200.95,48.94,11.03,13.87,8673.96,15.24,75780.71,45605.07,16955.80,8890.15,4329.69,3699.84,532.48,8495.36,15010.68,20565.46,930.40,371.27,15.10,2192.33,5683.36,2234.31,1607.11,569.90,4291.31,67138.16,56013.16,8180.00,9085.00,3978.00,13287.00,20801.00,30224.00,20061.00,48386.00,17422.00,1196.00,4636.00,14423.00,19416.00,42754.00,18261.00,8450.00,25163.00,1102.00,7117.00,10966.00,17591.00,17159.00,17265.00,68447.00,5832.00,2671.00,1448.00,422.00,1765.00,976.00,7018.00,4258.00,11727.00,24858.00,21352.00,47,50,66,23,57,77,65,97,91,95,95,84,94,75,85,85,84,78,69,68,110,99,55,85,90,65
10/2002,70.10,49097.40,2652.00,16579.00,1636.00,8835.00,3178.00,2930.00,60435.00,427.00,290.00,489.00,24279.00,40854.00,48.11,46.10,11.79,20.30,8899.23,15.77,69641.15,37457.96,19015.25,8963.12,4204.82,2352.47,628.10,7721.17,7689.40,20352.60,1277.39,383.65,30.84,2690.29,5466.27,2752.91,2557.72,590.24,4555.93,61531.64,61531.64,4989.00,6822.00,2250.00,9561.00,14698.00,24390.00,15716.00,37171.00,13799.00,1415.00,3396.00,14423.00,15749.00,39901.00,12423.00,8581.00,25834.00,1113.00,7117.00,7168.00,14067.00,11310.00,11811.00,52887.00,4811.00,2653.00,940.00,402.00,2810.00,864.00,4990.00,4719.00,9997.00,27484.00,22651.00,48,50,65,25,57,77,65,97,91,95,95,84,94,75,86,85,84,79,69,70,110,99,55,86,90,65
11/2002,70.40,35628.50,2479.00,17516.00,3758.00,9107.00,1954.00,2697.00,62720.00,469.00,238.00,365.00,25777.00,43111.00,138.04,51.90,13.45,29.59,9349.98,14.09,83280.28,40107.30,19966.96,9502.11,13703.91,6148.60,7345.03,8089.76,10139.74,20385.70,1084.99,389.89,14.81,2919.33,5664.71,2760.30,2678.77,694.30,4841.54,75675.10,75675.10,8443.00,10792.00,3587.00,15648.00,20400.00,43282.00,25794.00,62106.00,24218.00,1287.00,5781.00,14423.00,16081.00,40720.00,12382.00,8751.00,26078.00,1119.00,7117.00,7330.00,14642.00,11263.00,19235.00,87900.00,7068.00,2956.00,2.00,512.00,3784.00,1068.00,3387.00,4413.00,8261.00,26424.00,22715.00,48,50,65,24,57,77,65,98,92,95,95,84,95,75,86,85,84,78,69,68,110,100,55,85,90,65
12/2002,70.20,26193.10,5396.00,16255.00,4370.00,5652.00,660.00,5573.00,51811.00,373.00,161.00,305.00,20549.00,34200.00,284.85,56.10,13.17,35.24,9209.91,16.61,71772.28,37788.00,20307.76,9511.38,4165.14,3211.41,850.35,8351.88,7298.23,20817.06,916.90,382.66,12.79,2660.22,5265.74,3995.41,3114.06,821.32,4019.21,65396.16,65396.16,8013.00,10033.00,3659.00,14387.00,14766.00,35113.00,17286.00,49781.00,17188.00,1111.00,5586.00,10935.00,19344.00,45328.00,12675.00,9140.00,26627.00,1250.00,3542.00,10204.00,18701.00,11425.00,18046.00,67067.00,6697.00,2585.00,4.00,234.00,2623.00,967.00,3179.00,4402.00,16253.00,32606.00,28045.00,48,49,64,24,59,77,65,98,92,95,95,84,95,75,86,85,84,78,69,68,110,100,55,86,90,65
01/2003,70.20,32075.20,1912.00,19586.00,10505.00,5994.00,1054.00,2033.00,52890.00,315.00,192.00,193.00,19079.00,32531.00,55.04,60.20,11.09,29.62,9358.25,16.12,85827.59,45051.10,21841.91,9429.40,9505.17,4270.43,4613.01,12834.77,7231.74,23441.83,1062.33,447.93,29.44,3161.63,6893.58,2800.79,1982.90,815.10,5768.45,78110.24,78110.24,8840.00,11061.00,4428.00,15473.00,15982.00,36381.00,20113.00,49671.00,17421.00,1103.00,5436.00,12277.00,20565.00,46043.00,14876.00,9218.00,26886.00,1411.00,4971.00,11347.00,19157.00,13465.00,19901.00,69784.00,6539.00,3062.00,25.00,476.00,1538.00,1251.00,7382.00,4955.00,14555.00,23214.00,19737.00,47,49,64,26,59,77,65,98,91,94,95,84,95,75,86,85,84,80,70,71,110,100,55,86,91,66
02/2003,70.80,51451.80,1994.00,19612.00,10722.00,5718.00,957.00,2215.00,56146.00,520.00,180.00,210.00,20155.00,35563.00,31.12,74.72,12.92,15.10,7987.40,18.76,84846.68,43021.04,17551.11,8037.28,16237.26,6544.65,9241.14,9307.20,10173.51,20074.26,1047.36,410.90,12.02,1884.87,5859.26,2891.74,1414.26,665.10,4346.49,78154.95,78154.95,11955.00,18884.00,9070.00,21769.00,16499.00,44792.00,20226.00,59375.00,18310.00,1445.00,6174.00,12293.00,20857.00,46807.00,15309.00,9388.00,27353.00,1437.00,4987.00,11469.00,19454.00,13872.00,30839.00,79601.00,7619.00,3379.00,83.00,403.00,1839.00,1742.00,9911.00,3874.00,14112.00,25549.00,22519.00,48,49,64,25,59,77,65,98,91,94,95,85,95,75,86,85,84,80,70,72,110,100,55,86,90,66
03/2003,70.70,85231.70,2516.00,22262.00,11615.00,6826.00,1214.00,2607.00,60017.00,628.00,325.00,146.00,21865.00,37371.00,51.59,83.44,12.80,18.12,8820.28,21.82,87600.58,47024.75,22308.82,8893.69,9373.33,2427.73,6851.31,16466.24,7651.47,21409.69,955.33,452.47,15.97,3138.60,6773.30,3549.22,2514.18,916.59,3966.24,79826.41,79826.41,16033.00,29306.00,11542.00,33797.00,19067.00,40193.00,13263.00,64555.00,18558.00,2013.00,8027.00,12072.00,20741.00,45266.00,15020.00,9482.00,27705.00,1404.00,4766.00,11259.00,17561.00,13616.00,45339.00,77818.00,10040.00,2523.00,73.00,362.00,962.00,1204.00,6298.00,4203.00,15346.00,26337.00,22809.00,48,49,64,25,59,77,65,98,91,94,94,85,95,75,86,85,84,80,70,72,110,100,55,86,90,66
04/2003,70.70,90305.50,2789.00,18612.00,9467.00,5098.00,1011.00,3036.00,52354.00,579.00,226.00,153.00,20815.00,32831.00,321.52,72.92,12.65,10.55,9587.00,19.44,90082.83,45320.56,22016.36,9927.96,12817.94,5622.71,7004.26,10007.17,10806.97,22861.63,1163.96,438.10,37.13,2765.87,6440.00,3492.61,1827.86,929.51,5108.95,82337.77,69405.26,14525.00,21166.00,7545.00,28146.00,14417.00,30757.00,11069.00,52134.00,18029.00,1514.00,7153.00,12168.00,20342.00,46677.00,14965.00,9197.00,27479.00,1327.00,4862.00,11145.00,19198.00,13638.00,35691.00,63203.00,8667.00,4502.00,2.00,350.00,643.00,1389.00,6126.00,4353.00,14655.00,26505.00,23339.00,50,49,64,27,59,77,65,98,91,94,94,85,95,75,86,85,84,80,70,71,110,100,55,86,90,66
05/2003,71.00,109235.50,2801.00,20665.00,11177.00,5236.00,1114.00,3138.00,58254.00,821.00,369.00,291.00,22630.00,36471.00,57.07,67.14,11.17,13.04,9185.39,19.13,138870.18,94809.78,21091.68,9261.59,13707.13,2941.16,10475.75,9133.50,59983.11,21904.20,1088.66,468.07,27.10,3206.65,5830.56,3167.65,2191.02,758.88,4633.11,129884.31,123919.15,15039.00,19495.00,8596.00,25938.00,13375.00,36657.00,16283.00,51360.00,17611.00,1400.00,7562.00,14423.00,17747.00,44862.00,13937.00,9516.00,27553.00,1211.00,7117.00,8231.00,17309.00,12726.00,34534.00,67643.00,8962.00,3331.00,14.00,406.00,441.00,891.00,4801.00,4258.00,13370.00,29381.00,25575.00,51,50,65,28,59,78,66,98,91,94,94,85,95,75,86,86,84,79,70,70,110,99,55,86,90,66
06/2003,71.30,102753.66,3129.00,21512.00,10504.00,6119.00,853.00,4036.00,65402.00,1027.00,310.00,315.00,24828.00,42815.00,57.94,63.45,11.46,18.34,9031.09,18.83,95326.60,55793.74,20169.93,9107.86,10255.07,6165.27,3954.78,8571.80,9373.94,21555.26,1092.90,489.05,33.82,2040.41,6669.65,2910.36,1910.60,606.77,4603.41,85432.48,85432.48,17515.00,20990.00,11693.00,26812.00,16207.00,36635.00,18570.00,54748.00,20476.00,1883.00,9103.00,14423.00,18054.00,45259.00,14422.00,9674.00,27712.00,1231.00,7117.00,8380.00,17547.00,13191.00,38505.00,73318.00,10986.00,2867.00,717.00,547.00,494.00,1026.00,4558.00,4221.00,14298.00,29015.00,25574.00,52,51,66,28,59,77,66,98,91,93,94,85,95,75,86,86,84,77,70,67,110,99,55,85,90,66
07/2003,71.00,87872.20,2254.00,23310.00,11301.00,7110.00,1356.00,3543.00,67241.00,1173.00,324.00,259.00,24868.00,43362.00,193.59,77.04,11.15,19.10,9737.27,18.37,84391.41,42528.57,21482.87,9949.23,10430.74,2786.01,7544.84,8927.41,9152.15,22909.08,1042.39,476.42,18.58,2917.18,6399.25,3099.06,1866.02,593.77,5176.77,76092.72,73381.67,10323.00,12246.00,7844.00,14725.00,15130.00,26873.00,14049.00,40839.00,12885.00,1982.00,6140.00,14423.00,18236.00,45721.00,14734.00,9708.00,27879.00,1244.00,7117.00,8528.00,17842.00,13490.00,22569.00,54888.00,8122.00,2978.00,2581.00,474.00,297.00,971.00,5074.00,4434.00,14906.00,30726.00,26894.00,53,51,66,27,59,77,66,98,91,93,94,85,95,75,86,86,84,78,70,69,110,99,55,85,90,66
08/2003,71.00,71903.80,2140.00,18648.00,9055.00,6056.00,806.00,2731.00,60674.00,1133.00,424.00,403.00,26948.00,41461.00,90.54,76.30,9.36,16.43,8780.25,16.87,115553.91,78106.75,20595.78,8887.66,7963.72,5631.69,2248.63,8553.55,46304.77,21638.82,1098.92,472.38,35.48,3037.66,5780.44,2868.24,1819.42,635.90,5048.67,106979.54,106979.54,10819.00,13665.00,4179.00,20305.00,10226.00,31397.00,15813.00,42465.00,16655.00,1790.00,8421.00,14423.00,18455.00,46401.00,14337.00,9783.00,28127.00,1298.00,7117.00,8672.00,18274.00,13039.00,24484.00,58278.00,10211.00,3264.00,128.00,465.00,282.00,929.00,8134.00,3975.00,13509.00,28944.00,25063.00,53,51,66,28,58,77,66,98,91,93,94,85,95,75,86,86,84,80,70,71,110,99,55,86,90,66
09/2003,71.40,68191.00,2761.00,22123.00,9730.00,7489.00,1057.00,3847.00,70978.00,968.00,361.00,728.00,30683.00,47947.00,219.90,84.08,14.38,13.44,10107.92,19.92,97433.50,60672.94,20292.51,10347.74,6120.30,2669.62,3356.76,9344.28,23054.14,23956.25,925.70,536.72,17.94,2866.14,6561.98,2698.34,1799.36,593.06,4405.12,89513.07,70517.62,16571.00,19505.00,4849.00,31227.00,12587.00,29683.00,15384.00,42448.00,15562.00,2366.00,9896.00,14423.00,18601.00,47347.00,14193.00,9863.00,28662.00,1324.00,7117.00,8738.00,18685.00,12869.00,36076.00,57832.00,12262.00,2715.00,658.00,436.00,198.00,807.00,6731.00,4342.00,13515.00,31315.00,27231.00,55,51,66,27,58,77,66,98,91,93,94,85,95,75,86,86,84,79,70,70,109,99,55,86,90,66
10/2003,71.30,59867.20,2567.00,21309.00,10542.00,6585.00,727.00,3455.00,70607.00,1263.00,331.00,611.00,31275.00,48500.00,75.94,75.91,12.40,19.34,8588.11,17.29,84038.89,45829.58,21731.85,8681.33,7796.14,6818.26,858.94,9646.88,10429.69,23838.53,1320.91,571.57,22.01,2770.10,5965.96,3871.20,1967.15,708.03,5008.96,79143.91,79143.91,8307.00,9163.00,1828.00,15642.00,11352.00,18477.00,13376.00,29955.00,13502.00,1129.00,4308.00,14423.00,18692.00,48080.00,14409.00,9898.00,29033.00,1347.00,7117.00,8794.00,19047.00,13062.00,27134.00,43331.00,5437.00,2690.00,932.00,401.00,281.00,705.00,4888.00,4402.00,13730.00,32443.00,28354.00,55,51,66,28,58,77,66,98,91,93,93,85,95,75,87,88,84,79,70,69,108,99,55,86,90,66
11/2003,71.40,45559.90,1969.00,22080.00,10787.00,7600.00,795.00,2898.00,68418.00,1052.00,329.00,632.00,29947.00,45658.00,154.38,77.27,15.10,28.76,8932.52,13.40,80743.92,46033.54,20879.71,9100.31,4730.37,2701.81,1785.04,9059.37,11879.26,23159.25,1086.25,513.10,17.66,2644.99,5430.67,3633.07,2428.30,752.91,4606.43,70353.98,70353.98,8950.00,11504.00,3274.00,17180.00,16724.00,39629.00,22744.00,53762.00,20153.00,1454.00,6166.00,14423.00,19018.00,49716.00,15086.00,10043.00,29900.00,1440.00,7117.00,8975.00,19816.00,13646.00,20454.00,76506.00,7620.00,5561.00,1009.00,473.00,239.00,832.00,6428.00,4133.00,12760.00,30169.00,26488.00,55,51,66,28,59,77,66,97,91,93,93,85,95,75,87,88,84,80,70,71,108,99,55,86,90,66
