Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Equity Market Index :GAP,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
2/1/2009,0.019,-0.11848341,431.52,-25.8912,100.7,0.1,0.017298047
3/1/2009,0.019,-0.23557126,431.5,-25.89,100.7,0.05,0.012608785
4/1/2009,0.021,-0.92699884,491.69,-29.5014,100.7,0.1,0.006594992
5/1/2009,0.017,-3.39750849,560.41,-33.6246,100.7,-0.03,0.014392943
6/1/2009,0.014,-3.92817059,597.48,-35.8488,100.7,0.04,0.032272458
7/1/2009,0.012,-4.3575419,624,-37.44,100.7,0,0.019423925
8/1/2009,0.012,-1.15074799,653.25,-39.195,100.7,0.04,0.014387055
9/1/2009,0.012,-1.03448276,717.07,-43.0242,100.7,0.02,0.008616201
10/1/2009,0.011,0.34924331,685.24,-41.1144,100.7,0.02,0.013254867
11/1/2009,0.01,1.88457008,689.07,-41.3442,100.7,0.03,0.003126042
12/1/2009,0.009,3.47305389,734.54,-44.0724,100.7,-0.01,0.006659282
1/1/2010,0.014,4.09580838,696.55,-41.793,100.65,0.06,0.02656634
2/1/2010,0.01,3.67734282,721.37,-43.2822,100.64,0.056,0.032820889
3/1/2010,0.01,3.42384888,787.98,-47.2788,100.64,0.023,0.010027788
4/1/2010,0.012,2.97076023,763.51,-45.8106,100.63,0.05,0.008947386
5/1/2010,0.015,3.41148886,750.43,-45.0258,100.63,0.02,0.020135725
6/1/2010,0.012,3.31775701,797.31,-47.8386,100.7,0.026,0.022321639
7/1/2010,0.009,3.46962617,855.83,-51.3498,100.7,0.016,0.014228544
8/1/2010,0.009,3.36437718,913.19,-54.7914,100.7,0.023,0.003351559
9/1/2010,0.009,3.04297329,975.3,-58.518,100.7,-0.007,-0.013552292
10/1/2010,0.009,2.94663573,984.46,-59.0676,100.65,0.003,0.007801586
11/1/2010,0.01,2.80924855,1005.12,-60.3072,100.64,0.021,0.019281213
12/1/2010,0.007,3.09027778,1032.76,-61.9656,100.51,0.016,0.026254008
1/1/2011,0.0098,3.03727566,964.1,-57.846,100.49,0.054,0.027919802
2/1/2011,0.007,2.88329519,987.91,-59.2746,100.49,0.04,0.029574951
3/1/2011,0.0072,3.15068493,1047.48,-62.8488,100.48,0.049,-0.000796987
4/1/2011,0.0075,4.04361654,1093.56,-65.6136,100.47,0.138,0.011948338
5/1/2011,0.0053,4.19453577,1073.83,-64.4298,100.44,0.034,0.004045832
6/1/2011,0.0042,4.05924921,1041.48,-62.4888,100.43,0.013,0.01362285
7/1/2011,0.0052,4.0984532,1133.53,-68.0118,100.38,0.018,0.005145591
8/1/2011,0.0068,4.29102376,1070.05,-64.203,100.38,0.043,0.005235347
9/1/2011,0.0075,4.01262399,916.21,-54.9726,100.35,-0.033,0.010299067
10/1/2011,0.0056,4.19202164,974.75,-58.485,100.35,0.019,0.01614605
11/1/2011,0.0082,4.19431013,995.33,-59.7198,100.35,0.021,0.007983234
12/1/2011,0.0043,3.53654429,1025.32,-61.5192,100.34,-0.048,-0.021503319
1/1/2012,0.0081,3.37204109,1083.97,-65.0382,100.34,0.039,-0.074391131
2/1/2012,0.0066,3.33629893,1160.9,-69.654,100.31,0.037,0.004890994
3/1/2012,0.0073,3.4417884,1196.77,-71.8062,100.31,0.059,0.07161672
4/1/2012,0.0097,2.46724891,1228.49,-73.7094,100.31,0.042,0.030284971
5/1/2012,0.0092,2.52420846,1141.5,-68.49,100.3,0.039,0.019341757
6/1/2012,0.0067,2.56438118,1172.11,-70.3266,100.29,0.016,0.005032351
7/1/2012,0.0056,2.72234273,1199.3,-71.958,100.29,0.035,0.012940111
8/1/2012,0.0056,2.68898488,1227.48,-73.6488,100.29,0.04,0.008683445
9/1/2012,0.0063,3.3810143,1298.79,-77.9274,100.28,0.034,0.016490387
10/1/2012,0.0056,3.32035475,1298.87,-77.9322,100.29,0.013,0.01334131
11/1/2012,0.0039,2.73041226,1324.04,-79.4424,100.23,-0.035,-0.025957937
12/1/2012,0.0048,3.62177402,1391.93,-83.5158,100.24,0.039,0.022542171
1/1/2013,0.0083,3.3808598,1474.2,-88.452,100.19,0.016,0.063600538
2/1/2013,0.0062,3.22858373,1541.58,-92.4948,100.19,0.021,-0.029583121
3/1/2013,0.0069,2.68535359,1561.06,-93.6636,100.19,0.007,0.026874221
4/1/2013,0.0089,2.41849563,1597.86,-95.8716,100.19,0.016,0.005785376
5/1/2013,0.0077,2.27103895,1562.07,-93.7242,100.18,0.024,0.004867898
6/1/2013,0.0055,2.24600064,1451.9,-87.114,100.18,0.015,0.064710413
7/1/2013,0.0089,2.00612396,1423.14,-85.3884,100.18,0.01,0.031236578
8/1/2013,0.0081,1.58796929,1294.3,-77.658,100.18,-0.001,0.018456082
9/1/2013,0.0067,1.42557652,1383.16,-82.9896,100.18,0.016,-0.002448372
10/1/2013,0.0062,1.4550403,1442.88,-86.5728,100.18,0.017,0.049603956
11/1/2013,0.0072,1.92247085,1371.13,-82.2678,100.18,0.009,0.04302534
12/1/2013,0.0062,1.67434073,1298.71,-77.9226,100.2,0.014,0.03035727
1/1/2014,0.0094,1.93292237,1274.28,-76.4568,100.2,0.042,0.021092848
2/1/2014,0.0086,1.95996664,1325.33,-79.5198,100.2,0.023,0.058492083
3/1/2014,0.0088,2.10460513,1376.26,-82.5756,100.2,0.022,0.039140641
