Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Consumer Price Index,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
1/1/2006,0.022,5.97826087,762.63,78,101.6,0.02,0.016109121
2/1/2006,0.016,5.54054054,744.05,78.1,101.6,0.03,-0.375362072
3/1/2006,0.018,5.61497326,733.25,79,101.6,0.1,-0.160386165
4/1/2006,0.021,6.10889774,768.29,79.9,101.6,0.12,-0.412437544
5/1/2006,0.014,6.2005277,709.43,80.5,101.5,0.07,-0.345680463
6/1/2006,0.015,5.92105263,678.13,80.5,101.5,0,0.201223803
7/1/2006,0.011,4.53367876,691.49,80.7,101.5,0.02,0.544987553
8/1/2006,0.014,3.86100386,690.9,80.7,101.5,0.01,0.130130489
9/1/2006,0.012,2.81329923,686.1,80.4,101.5,-0.03,-0.017772719
10/1/2006,0.017,2.92993631,722.46,80.8,101.5,0.04,0.243455568
11/1/2006,0.012,3.59435173,739.06,80.7,101.4,-0.01,-0.240184447
12/1/2006,0.01,3.72750643,679.84,80.7,101.4,-0.01,0.025045125
1/1/2007,0.016,3.07692308,654.04,80.4,101.4,-0.03,0.167335172
2/1/2007,0.015,2.56081946,677.13,80.1,101.4,-0.04,0.102449373
3/1/2007,0.016,2.02531646,673.71,80.6,101.4,0.07,0.116497283
4/1/2007,0.017,1.75219024,699.16,81.3,101.4,0.1,-0.557497134
5/1/2007,0.016,1.86335404,737.4,82,101.4,0.08,-0.533517626
6/1/2007,0.014,1.86335404,776.79,82,101.3,0,0.00520335
7/1/2007,0.012,1.61090458,859.76,82,101.3,0,0.489243079
8/1/2007,0.012,0.9913259,813.21,81.5,101.3,-0.05,0.267225532
9/1/2007,0.012,1.99004975,845.5,82,101.3,0.06,0.257619106
10/1/2007,0.0141,2.35148515,907.28,82.7,101.2,0.09,-0.414968718
11/1/2007,0.011,2.9739777,846.44,83.1,101.1,0.04,-0.526095497
12/1/2007,0.0085,2.9739777,858.1,83.1,101.1,0.01,0.160657595
1/1/2008,0.0172,4.35323383,784.23,83.9,101.1,0.08,0.322489691
2/1/2008,0.0153,5.36828964,845.76,84.4,101,0.07,-0.266132669
3/1/2008,0.0152,5.33498759,817.03,84.9,101,0.06,-0.183598554
4/1/2008,0.0146,6.1500615,832.45,86.3,101,0.18,0.085795823
5/1/2008,0.0147,7.68292683,833.65,88.3,101,0.21,-0.591769903
6/1/2008,0.0116,8.65853659,768.59,89.1,100.9,0.12,-0.552533661
7/1/2008,0.013,9.14634146,676.32,89.5,100.9,0.03,0.370141692
8/1/2008,0.012,6.62576687,684.44,86.9,100.9,-0.3,0.767016043
9/1/2008,0.011,6.09756098,596.54,87,100.9,0.02,1.868820397
10/1/2008,0.012,3.8694075,416.53,85.9,100.9,-0.12,-0.572069847
11/1/2008,0.014,2.16606498,401.84,84.9,100.9,-0.12,-0.286924301
12/1/2008,0.014,0.48134777,449.96,83.5,100.9,-0.16,0.425729042
1/1/2009,0.024,-0.47675805,437.69,83.5,100.8,0,0.196533004
2/1/2009,0.019,-0.11848341,431.52,84.3,100.7,0.1,-0.714541657
3/1/2009,0.019,-0.23557126,431.5,84.7,100.7,0.05,-0.992569965
4/1/2009,0.021,-0.92699884,491.69,85.5,100.7,0.1,-0.047213627
5/1/2009,0.017,-3.39750849,560.41,85.3,100.7,-0.03,-0.102933957
6/1/2009,0.014,-3.92817059,597.48,85.6,100.7,0.04,0.506684685
7/1/2009,0.012,-4.3575419,624,85.6,100.7,0,0.02581866
8/1/2009,0.012,-1.15074799,653.25,85.9,100.7,0.04,-0.004452486
9/1/2009,0.012,-1.03448276,717.07,86.1,100.7,0.02,-0.088341855
10/1/2009,0.011,0.34924331,685.24,86.2,100.7,0.02,-0.016953924
11/1/2009,0.01,1.88457008,689.07,86.5,100.7,0.03,0.055819697
12/1/2009,0.009,3.47305389,734.54,86.4,100.7,-0.01,-0.052693435
1/1/2010,0.014,4.09580838,696.55,86.92,100.65,0.06,0.17066247
2/1/2010,0.01,3.67734282,721.37,87.4,100.64,0.056,-0.240718827
3/1/2010,0.01,3.42384888,787.98,87.6,100.64,0.023,-0.184107217
4/1/2010,0.012,2.97076023,763.51,88.04,100.63,0.05,0.177480575
5/1/2010,0.015,3.41148886,750.43,88.21,100.63,0.02,-0.042186974
6/1/2010,0.012,3.31775701,797.31,88.44,100.7,0.026,0.071852831
7/1/2010,0.009,3.46962617,855.83,88.57,100.7,0.016,0.05484401
8/1/2010,0.009,3.36437718,913.19,88.79,100.7,0.023,0.031015157
9/1/2010,0.009,3.04297329,975.3,88.72,100.7,-0.007,-0.008666981
10/1/2010,0.009,2.94663573,984.46,88.74,100.65,0.003,0.128997019
11/1/2010,0.01,2.80924855,1005.12,88.93,100.64,0.021,0.033394809
12/1/2010,0.007,3.09027778,1032.76,89.07,100.51,0.016,-0.123003738
1/1/2011,0.0098,3.03727566,964.1,89.56,100.49,0.054,-0.029365516
2/1/2011,0.007,2.88329519,987.91,89.92,100.49,0.04,-0.179718186
3/1/2011,0.0072,3.15068493,1047.48,90.36,100.48,0.049,-0.040616046
4/1/2011,0.0075,4.04361654,1093.56,91.6,100.47,0.138,-0.006116148
5/1/2011,0.0053,4.19453577,1073.83,91.91,100.44,0.034,-0.476324384
6/1/2011,0.0042,4.05924921,1041.48,92.03,100.43,0.013,0.270146267
7/1/2011,0.0052,4.0984532,1133.53,92.2,100.38,0.018,0.409823687
